,precision,recall
0,0.14007871220420892,1.0
1,0.4984314671814672,0.33772073250490514
2,0.4993955512572534,0.33772073250490514
3,0.49969759283899845,0.33772073250490514
4,0.5007475049496949,0.33772073250490514
5,0.5020051039008385,0.33772073250490514
6,0.502558687352774,0.33720296490080665
7,0.5030081300813009,0.33720296490080665
8,0.5026846729580214,0.3367669500763026
9,0.5027255715564234,0.3367669500763026
10,0.5040378497430459,0.3367669500763026
11,0.5043669904497592,0.3367669500763026
12,0.5045140732873075,0.33654894266405055
13,0.5051537958115183,0.33654894266405055
14,0.50511331097112,0.33649444081098756
15,0.5053256861941827,0.33614017876607805
16,0.5075601090638685,0.3348048833660344
17,0.5075867201389176,0.33455962502725095
18,0.5081837819873712,0.3333605842598648
19,0.508310479514668,0.3333605842598648
20,0.5073579161028416,0.32695661652496183
21,0.507722906351826,0.32695661652496183
22,0.5080030487804879,0.32692936559843033
23,0.5082342954159592,0.3263025942882058
24,0.5085796805980293,0.3263025942882058
25,0.5089076916535566,0.3261663396555483
26,0.5088921034717495,0.3259483322432963
27,0.5095670575786968,0.31496620885110094
28,0.509549644920824,0.3148027032919119
29,0.5095280105866784,0.3147754523653804
30,0.5094414541604165,0.3146664486592544
31,0.5091816014831818,0.3143394375408764
32,0.5099428672660437,0.31376716808371485
33,0.5099898108359544,0.31371266623065186
34,0.5098873813957613,0.31338565511227384
35,0.5185339828346092,0.30458360584259864
36,0.518335355043389,0.302757793764988
37,0.5184096318073639,0.3027305428384565
38,0.5183646800765389,0.3026760409853935
39,0.5199379290886862,0.3013134946588184
40,0.5197572678521027,0.3010954872465664
41,0.521106051982546,0.29940592980161324
42,0.5210606204344939,0.29935142794855024
43,0.5214563752017469,0.29935142794855024
44,0.5202278929477665,0.2961085676913015
45,0.5183865999229881,0.2934924787442773
46,0.5179921961558842,0.29302921299324175
47,0.5173978089860528,0.2921571833442337
48,0.5174244618206391,0.2921299324177022
49,0.5166158757800029,0.29103989535644215
50,0.5165691064776741,0.2909853935033791
51,1.0,0.0
